"metric","term","estimate","std.error","statistic","p.value","covariate"
"Jaccard_base","(Intercept)",-0.0385497664166956,0.00183996319465695,-20.9513790974949,1.21384421774641e-65,"duration"
"Jaccard_base","duration",8.88251772480082e-05,0.000171963280505072,0.516535721969948,0.605776090950774,"duration"
"S","(Intercept)",-0.0779343650269506,0.0178217859280372,-4.37298289529696,1.5784732870856e-05,"duration"
"S","duration",0.00348914819218739,0.00166562721555732,2.09479537773998,0.0368405226393665,"duration"
"SES_FDiv","(Intercept)",-0.0464799644803124,0.00627060539375505,-7.41235679199367,7.91758011607958e-13,"duration"
"SES_FDiv","duration",0.000941868236576234,0.000586051871795166,1.60714141854227,0.108840999803233,"duration"
"SES_FEve","(Intercept)",-0.0142756315484303,0.00108580254123713,-13.1475392682035,6.96472447699247e-33,"duration"
"SES_FEve","duration",0.000216777872785329,0.0001014792945392,2.136178358055,0.0332933833778509,"duration"
"SES_FRic","(Intercept)",-0.0109785539534565,0.00558342285315512,-1.96627664466657,0.0499828551465446,"duration"
"SES_FRic","duration",0.000456213268255966,0.000521827671914142,0.874260398231675,0.382520069690265,"duration"
"Jaccard_base","(Intercept)",1.1016073994826,0.166561909475872,6.61380145646193,1.25117321673844e-10,"startyear"
"Jaccard_base","startyear",-0.00057267237634323,8.37097785305746e-05,-6.84116463328193,3.09174998601066e-11,"startyear"
"S","(Intercept)",7.06029561653156,1.67883860068332,4.20546419033841,3.24194202536325e-05,"startyear"
"S","startyear",-0.00357361440834766,0.000843741572692156,-4.23543715754719,2.85507468877492e-05,"startyear"
"SES_FDiv","(Intercept)",-1.54088455672637,0.598005186203807,-2.57670768126285,0.0103452474609184,"startyear"
"SES_FDiv","startyear",0.000754837857014701,0.000300542193919235,2.51158696611348,0.0124264048262014,"startyear"
"SES_FEve","(Intercept)",0.809916490681214,0.095919945324398,8.44367131301111,6.30081061484921e-16,"startyear"
"SES_FEve","startyear",-0.000413360388129361,4.82069244104896e-05,-8.57470981989084,2.43319386706308e-16,"startyear"
"SES_FRic","(Intercept)",-0.447676363591289,0.535077480792471,-0.836657081752465,0.403303004707187,"startyear"
"SES_FRic","startyear",0.000221304561283708,0.00026891632999875,0.822949507323474,0.411044818130777,"startyear"
