"id","scientificName","sourceName","fos","ter","aqu","arb","diet_leaves","diet_flowers","diet_seed","diet_fruit","diet_inv","diet_vert","diurnal","nocturnal","crepuscular","wet_warm","wet_cold","dry_warm","dry_cold","bodymass_value","age_at_maturity_min_y","age_at_maturity_max_y","body_size_mm","size_at_maturity_min_mm","size_at_maturity_max_mm","longevity_max_y","litter_size_min_n","litter_size_max_n","reproductive_output_y","offspring_size_min_mm","offspring_size_max_mm","dir","lar","viv"
"ITIS:207629","Eleutherodactylus patriciae","Eleutherodactylus patriciae",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,NA,NA,NA,NA,NA,1,NA,NA,1,0,0
"ITIS:207630","Eleutherodactylus paulsoni","Eleutherodactylus paulsoni",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,1,NA,NA,1,0,0
"ITIS:663625","Eleutherodactylus pentasyringos","Eleutherodactylus pentasyringos",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,NA,NA,NA,NA,NA,1,NA,NA,1,0,0
"ITIS:207633","Eleutherodactylus pezopetrus","Eleutherodactylus pezopetrus",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,NA,NA,NA,NA,NA,1,NA,NA,1,0,0
"ITIS:207636","Eleutherodactylus pictissimus","Eleutherodactylus pictissimus",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,NA,NA,NA,NA,NA,1,NA,NA,1,0,0
"ITIS:207637","Eleutherodactylus pinarensis","Eleutherodactylus pinarensis",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,NA,NA,NA,NA,NA,1,NA,NA,1,0,0
"ITIS:183781","Eleutherodactylus pinchoni","Eleutherodactylus pinchoni",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,1,NA,NA,1,0,0
"ITIS:550352","Eleutherodactylus pipilans","Eleutherodactylus pipilans",NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,31,NA,NA,NA,NA,NA,1,NA,NA,1,0,0
"ITIS:207639","Eleutherodactylus pituinus","Eleutherodactylus pituinus",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,NA,NA,NA,NA,NA,1,NA,NA,1,0,0
"ITIS:173568","Eleutherodactylus planirostris","Eleutherodactylus planirostris",NA,1,1,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,36,15,25,NA,2,26,1,NA,NA,1,0,0
"ITIS:207645","Eleutherodactylus poolei","Eleutherodactylus poolei",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,NA,NA,NA,NA,NA,1,NA,NA,1,0,0
"ITIS:173569","Eleutherodactylus portoricensis","Eleutherodactylus portoricensis",NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,NA,NA,NA,4,27,1,NA,NA,1,0,0
"ITIS:663645","Eleutherodactylus principalis","Eleutherodactylus principalis",NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,1,NA,NA,1,0,0
"ITIS:663646","Eleutherodactylus probolaeus","Eleutherodactylus probolaeus",NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,1,NA,NA,1,0,0
"ITIS:663669","Eleutherodactylus rhodesi","Eleutherodactylus rhodesi",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,1,NA,NA,1,0,0
"ITIS:173570","Eleutherodactylus richmondi","Eleutherodactylus richmondi",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,1,NA,NA,1,0,0
"ITIS:207659","Eleutherodactylus ricordii","Eleutherodactylus ricordii",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,19,25,1,NA,NA,1,0,0
"ITIS:663673","Eleutherodactylus riparius","Eleutherodactylus riparius",NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,NA,NA,NA,NA,NA,1,NA,NA,1,0,0
"ITIS:663675","Eleutherodactylus rivularis","Eleutherodactylus rivularis",NA,1,1,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,31,NA,NA,NA,42,42,1,4.2,4.6,1,0,0
"ITIS:774200","Eleutherodactylus rogersi","Eleutherodactylus rogersi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITIS:207662","Eleutherodactylus ronaldi","Eleutherodactylus ronaldi",NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,28,NA,NA,NA,NA,NA,1,NA,NA,1,0,0
"ITIS:550353","Eleutherodactylus rubrimaculatus","Eleutherodactylus rubrimaculatus",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,1,NA,NA,1,0,0
"ITIS:774201","Eleutherodactylus rucillensis","Eleutherodactylus rucillensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITIS:207666","Eleutherodactylus rufifemoralis","Eleutherodactylus rufifemoralis",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,1,NA,NA,1,0,0
"ITIS:207669","Eleutherodactylus ruthae","Eleutherodactylus ruthae",1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,58,NA,NA,NA,NA,NA,1,NA,NA,1,0,0
"ITIS:550374","Eleutherodactylus saxatilis","Eleutherodactylus saxatilis",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,1,NA,NA,1,0,0
"ITIS:207674","Eleutherodactylus schmidti","Eleutherodactylus schmidti",NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,58,NA,NA,NA,NA,NA,1,NA,NA,1,0,0
"ITIS:173571","Eleutherodactylus schwartzi","Eleutherodactylus schwartzi",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,35,NA,NA,NA,NA,NA,1,NA,NA,1,0,0
"ITIS:663696","Eleutherodactylus sciagraphus","Eleutherodactylus sciagraphus",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,1,NA,NA,1,0,0
"ITIS:207675","Eleutherodactylus semipalmatus","Eleutherodactylus semipalmatus",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,NA,NA,NA,NA,NA,1,NA,NA,1,0,0
"ITIS:663708","Eleutherodactylus simulans","Eleutherodactylus simulans",NA,1,1,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,1,NA,NA,1,0,0
"ITIS:663710","Eleutherodactylus sisyphodemus","Eleutherodactylus sisyphodemus",NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,6,10,1,0.5,1,1,0,0
"ITIS:774202","Eleutherodactylus sommeri","Eleutherodactylus sommeri",NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
