"id","sourceName","scientificName","diet_inv","diet_vend","diet_vect","diet_vfish","diet_vunk","diet_scav","diet_fruit","diet_nect","diet_seed","diet_planto","diet_5cat","forstrat_watbelowsurf","forstrat_wataroundsurf","forstrat_ground","forstrat_understory","forstrat_midhigh","forstrat_canopy","forstrat_aerial","pelagicspecialist","nocturnal","bodymass_value"
"ITIS:561661","Oenanthe picata","Oenanthe picata",90,0,0,0,0,0,10,0,0,0,"Invertebrate",0,0,100,0,0,0,0,0,0,21.59
"ITIS:561657","Oenanthe moesta","Oenanthe moesta",90,0,0,0,0,0,0,0,0,10,"Invertebrate",0,0,80,20,0,0,0,0,0,30.2
"ITIS:561650","Oenanthe hispanica","Oenanthe hispanica",60,0,0,0,0,0,20,0,20,0,"Invertebrate",0,0,80,10,10,0,0,0,0,15.04
"ITIS:561663","Oenanthe pleschanka","Oenanthe pleschanka",80,0,0,0,0,0,20,0,0,0,"Invertebrate",0,0,60,20,20,0,0,0,0,19.36
"ITIS:561646","Oenanthe cypriaca","Oenanthe cypriaca",100,0,0,0,0,0,0,0,0,0,"Invertebrate",0,0,100,0,0,0,0,0,0,16.61
"ITIS:561664","Oenanthe xanthoprymna","Oenanthe xanthoprymna",70,0,10,0,0,0,10,0,10,0,"Invertebrate",0,0,80,10,10,0,0,0,0,22.7
"ITIS:561647","Oenanthe deserti","Oenanthe deserti",90,0,0,0,0,0,0,0,10,0,"Invertebrate",0,0,50,20,20,10,0,0,0,19.84
"ITIS:561662","Oenanthe pileata","Oenanthe pileata",100,0,0,0,0,0,0,0,0,0,"Invertebrate",0,0,100,0,0,0,0,0,0,26.8
"ITIS:561651","Oenanthe isabellina","Oenanthe isabellina",70,0,0,0,10,0,0,0,20,0,"Invertebrate",0,0,100,0,0,0,0,0,0,29.4
"ITIS:561645","Oenanthe bottae","Oenanthe bottae",90,0,0,0,0,0,0,0,10,0,"Invertebrate",0,0,100,0,0,0,0,0,0,19.9
"ITIS:916853","Cercomela sinuata","Cercomela sinuata",60,0,0,0,0,0,40,0,0,0,"Invertebrate",0,0,100,0,0,0,0,0,0,18.1
"ITIS:916852","Cercomela schlegelii","Cercomela schlegelii",60,0,0,0,0,0,0,0,40,0,"Invertebrate",0,0,60,40,0,0,0,0,0,23.3
"ITIS:916854","Cercomela tractrac","Cercomela tractrac",100,0,0,0,0,0,0,0,0,0,"Invertebrate",0,0,100,0,0,0,0,0,0,20.8
"ITIS:916820","Cercomela familiaris","Cercomela familiaris",80,0,0,0,0,0,10,0,10,0,"Invertebrate",0,0,50,50,0,0,0,0,0,19.45
"ITIS:916850","Cercomela scotocerca","Cercomela scotocerca",60,0,0,0,0,0,0,0,40,0,"Invertebrate",0,0,50,50,0,0,0,0,0,16
"ITIS:916848","Cercomela fusca","Cercomela fusca",100,0,0,0,0,0,0,0,0,0,"Invertebrate",0,0,100,0,0,0,0,0,0,12.7
"ITIS:916851","Cercomela dubia","Cercomela dubia",80,0,0,0,0,0,10,0,10,0,"Invertebrate",0,0,70,30,0,0,0,0,0,17.19
"ITIS:916847","Cercomela melanura","Cercomela melanura",80,0,0,0,0,0,20,0,0,0,"Invertebrate",0,0,100,0,0,0,0,0,0,15.2
"ITIS:916354","Cercomela sordida","Cercomela sordida",100,0,0,0,0,0,0,0,0,0,"Invertebrate",0,0,100,0,0,0,0,0,0,21
"ITIS:561391","Myrmecocichla tholloni","Myrmecocichla tholloni",100,0,0,0,0,0,0,0,0,0,"Invertebrate",0,0,100,0,0,0,0,0,0,38.88
"ITIS:561385","Myrmecocichla aethiops","Myrmecocichla aethiops",70,0,0,0,10,0,20,0,0,0,"Invertebrate",0,0,100,0,0,0,0,0,0,56.56
"ITIS:916821","Myrmecocichla formicivora","Myrmecocichla formicivora",80,0,0,0,0,0,0,0,20,0,"Invertebrate",0,0,100,0,0,0,0,0,0,41.6
"ITIS:561390","Myrmecocichla nigra","Myrmecocichla nigra",100,0,0,0,0,0,0,0,0,0,"Invertebrate",0,0,100,0,0,0,0,0,0,40.3
"ITIS:561389","Myrmecocichla melaena","Myrmecocichla melaena",100,0,0,0,0,0,0,0,0,0,"Invertebrate",0,0,100,0,0,0,0,0,0,38.88
"ITIS:916355","Myrmecocichla albifrons","Myrmecocichla albifrons",100,0,0,0,0,0,0,0,0,0,"Invertebrate",0,0,100,0,0,0,0,0,0,20.6
NA,"Myrmecocichla arnoti",NA,100,0,0,0,0,0,0,0,0,0,"Invertebrate",0,0,100,0,0,0,0,0,0,39.6
"ITIS:562171","Pinarornis plumosus","Pinarornis plumosus",90,0,10,0,0,0,0,0,0,0,"Invertebrate",0,0,0,33,33,33,0,0,0,65.8
"ITIS:558727","Aplonis zelandica","Aplonis zelandica",20,0,0,0,0,0,80,0,0,0,"FruiNect",0,0,0,50,50,0,0,0,0,68.66
"ITIS:558725","Aplonis santovestris","Aplonis santovestris",30,0,0,0,0,0,50,0,20,0,"Omnivore",0,0,0,50,50,0,0,0,0,68.66
"ITIS:554133","Aplonis pelzelni","Aplonis pelzelni",20,0,0,0,0,0,60,0,20,0,"FruiNect",0,0,10,30,30,30,0,0,0,47
"ITIS:554130","Aplonis atrifusca","Aplonis atrifusca",20,0,0,0,0,0,70,10,0,0,"FruiNect",0,0,0,0,60,40,0,0,0,146
"ITIS:558711","Aplonis cinerascens","Aplonis cinerascens",30,0,0,0,0,0,50,20,0,0,"FruiNect",0,0,0,0,20,80,0,0,0,82.9
"ITIS:554134","Aplonis tabuensis","Aplonis tabuensis",20,0,0,0,0,0,80,0,0,0,"FruiNect",0,0,0,33,33,33,0,0,0,62.5
"ITIS:558726","Aplonis striata","Aplonis striata",20,0,0,0,0,0,80,0,0,0,"FruiNect",0,0,10,30,30,30,0,0,0,54.2
"ITIS:554132","Aplonis opaca","Aplonis opaca",20,10,0,0,0,0,40,0,30,0,"Omnivore",0,0,0,50,50,0,0,0,0,83.4
"ITIS:558712","Aplonis crassa","Aplonis crassa",20,0,0,0,0,0,60,20,0,0,"FruiNect",0,0,0,0,20,80,0,0,0,59
"ITIS:558710","Aplonis cantoroides","Aplonis cantoroides",50,0,0,0,0,0,50,0,0,0,"Omnivore",0,0,0,0,60,40,0,0,0,55.73
"ITIS:558714","Aplonis feadensis","Aplonis feadensis",40,0,0,0,0,0,60,0,0,0,"FruiNect",0,0,0,0,80,20,0,0,0,72
