"level","cond.estimate","cond.std.error","estimate","cond.var","var","std.error","upr.ci","lwr.ci","sig","metric","model_id"
"108",0.0203719328162,0.02220231506563,-0.0311669117699272,0.000492942794273502,0.000549873147526169,0.0234493741393277,0.0157318365087282,-0.0780656600485825,FALSE,"Jaccard_base","base"
"166",0.0265834115478147,0.0102890285322432,-0.0249554330383124,0.000105864108137315,0.000162794461389983,0.0127590932824391,0.000562753526565797,-0.0504736196031906,FALSE,"Jaccard_base","base"
"169",0.0555789166000892,0.0103851351107547,0.00404007201396209,0.00010785103126863,0.000164781384521298,0.012836720162148,0.0297135123382581,-0.021633368310334,FALSE,"Jaccard_base","base"
"171",0.01036607036964,0.0234458536259075,-0.0411727742164871,0.000549708052247479,0.000606638405500147,0.0246300305623064,0.00808728690812567,-0.0904328353410999,FALSE,"Jaccard_base","base"
"172",-0.00304903784868315,0.0245018371063518,-0.0545878824348103,0.000600340021586196,0.000657270374838864,0.0256372848569981,-0.00331331272081412,-0.105862452148806,TRUE,"Jaccard_base","base"
"195",0.0101063959551049,0.0019391118716347,-0.0414324486310222,3.76015485071463e-06,6.06905081033819e-05,0.00779041129231197,-0.0258516260463983,-0.0570132712156462,TRUE,"Jaccard_base","base"
"217",-0.0167101530236929,0.00727538505492188,-0.06824899760982,5.29312276973806e-05,0.000109861580950048,0.0104814875351759,-0.0472860225394682,-0.0892119726801718,TRUE,"Jaccard_base","base"
"311",0.00842382474411466,0.0201912546919778,-0.0431150198420125,0.000407686766036314,0.000464617119288981,0.0215549789906875,-5.06186063740227e-06,-0.0862249778233876,TRUE,"Jaccard_base","base"
"312",-0.010510082043152,0.0205135715794393,-0.0620489266292792,0.000420806618944781,0.000477736972197449,0.0218571949755098,-0.0183345366782597,-0.105763316580299,TRUE,"Jaccard_base","base"
"321",-0.00855526910407795,0.0233997502353385,-0.0600941136902051,0.000547548311076223,0.00060447866432889,0.0245861478139397,-0.0109218180623258,-0.109266409318084,TRUE,"Jaccard_base","base"
"328",-0.0188647346954546,0.0203879368282354,-0.0704035792815818,0.000415667968112116,0.000472598321364783,0.0217393266078962,-0.0269249260657894,-0.113882232497374,TRUE,"Jaccard_base","base"
"333",-0.0086123851616211,0.0205131201739514,-0.0601512297477483,0.000420788099270971,0.000477718452523638,0.0218567713197452,-0.0164376871082578,-0.103864772387239,TRUE,"Jaccard_base","base"
"337",-0.00317946945997999,0.0249084594504577,-0.0547183140461071,0.000620431352195094,0.000677361705447762,0.0260261734691783,-0.00266596710775049,-0.106770660984464,TRUE,"Jaccard_base","base"
"339",0.0053157405425945,0.019509342187744,-0.0462231040435326,0.000380614432598488,0.000437544785851155,0.0209175712225668,-0.00438796159839903,-0.0880582464886663,TRUE,"Jaccard_base","base"
"341",-0.0019135409014932,0.0252642356494489,-0.0534523854876204,0.000638281602950887,0.000695211956203554,0.0263668723250133,-0.000718640837593681,-0.106186130137647,TRUE,"Jaccard_base","base"
