"Species","fos","ter","aqu","arb","diet_leaves","diet_flowers","diet_seed","diet_fruit","diet_inv","diet_vert","diurnal","nocturnal","crepuscular","wet_warm","wet_cold","dry_warm","dry_cold","bodymass_value","age_at_maturity_min_y","age_at_maturity_max_y","body_size_mm","size_at_maturity_min_mm","size_at_maturity_max_mm","longevity_max_y","litter_size_min_n","litter_size_max_n","reproductive_output_y","offspring_size_min_mm","offspring_size_max_mm","dir","lar","viv","diet_vend","diet_vect","diet_vfish","diet_vunk","diet_scav","diet_nect","diet_planto","diet_5cat","forstrat_watbelowsurf","forstrat_wataroundsurf","forstrat_ground","forstrat_understory","forstrat_midhigh","forstrat_canopy","forstrat_aerial","pelagicspecialist"
"ITIS:180261",NA,NA,NA,NA,NA,NA,80,0,10,NA,0,1,0,NA,NA,NA,NA,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITIS:180370",NA,NA,NA,NA,NA,NA,20,0,10,NA,0,1,0,NA,NA,NA,NA,206.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,70,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITIS:930312",NA,NA,NA,NA,NA,NA,40,0,20,NA,1,0,0,NA,NA,NA,NA,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,40,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITIS:552484",NA,NA,NA,NA,NA,NA,80,0,10,NA,0,1,0,NA,NA,NA,NA,16.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITIS:180246",NA,NA,NA,NA,NA,NA,30,20,20,NA,0,1,0,NA,NA,NA,NA,135.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,30,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITIS:180282",NA,NA,NA,NA,NA,NA,20,20,50,NA,0,1,0,NA,NA,NA,NA,21.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITIS:180376",NA,NA,NA,NA,NA,NA,20,0,10,NA,0,1,0,NA,NA,NA,NA,237.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,70,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITIS:180344",NA,NA,NA,NA,NA,NA,50,0,0,NA,0,1,0,NA,NA,NA,NA,10.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,50,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITIS:180382",NA,NA,NA,NA,NA,NA,0,0,90,NA,0,1,0,NA,NA,NA,NA,27.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITIS:180285",NA,NA,NA,NA,NA,NA,20,20,50,NA,0,1,0,NA,NA,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITIS:180181",NA,NA,NA,NA,NA,NA,20,20,20,NA,1,0,0,NA,NA,NA,NA,103.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,10,0,30,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITIS:180180",NA,NA,NA,NA,NA,NA,20,20,20,NA,1,0,0,NA,NA,NA,NA,110.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,10,0,30,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITIS:180349",NA,NA,NA,NA,NA,NA,0,0,50,NA,1,1,1,NA,NA,NA,NA,92.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,50,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITIS:180276",NA,NA,NA,NA,NA,NA,20,20,50,NA,0,1,0,NA,NA,NA,NA,21.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITIS:552486",NA,NA,NA,NA,NA,NA,80,0,10,NA,0,1,0,NA,NA,NA,NA,16.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITIS:180383",NA,NA,NA,NA,NA,NA,0,0,90,NA,0,1,0,NA,NA,NA,NA,24.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITIS:552520",NA,NA,NA,NA,NA,NA,80,0,10,NA,0,1,0,NA,NA,NA,NA,26.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITIS:180122",NA,NA,NA,NA,NA,NA,0,0,0,NA,0,1,1,NA,NA,NA,NA,889.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITIS:180350",NA,NA,NA,NA,NA,NA,0,0,50,NA,1,1,1,NA,NA,NA,NA,122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,50,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITIS:180348",NA,NA,NA,NA,NA,NA,0,0,50,NA,1,1,1,NA,NA,NA,NA,214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,50,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITIS:180426",NA,NA,NA,NA,NA,NA,0,0,20,NA,1,0,0,NA,NA,NA,NA,175000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,80,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITIS:180473",NA,NA,NA,NA,NA,NA,0,0,0,NA,1,1,1,NA,NA,NA,NA,52500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,100,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITIS:180457",NA,NA,NA,NA,NA,NA,0,0,50,NA,0,1,1,NA,NA,NA,NA,387500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,50,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITIS:180443",NA,NA,NA,NA,NA,NA,0,0,40,NA,1,1,1,NA,NA,NA,NA,182000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,60,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITIS:552461",NA,NA,NA,NA,NA,NA,0,0,90,NA,0,1,1,NA,NA,NA,NA,8e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,10,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITIS:180630",NA,NA,NA,NA,NA,NA,0,0,80,NA,0,1,0,NA,NA,NA,NA,97500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,20,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITIS:180449",NA,NA,NA,NA,NA,NA,0,0,20,NA,1,0,0,NA,NA,NA,NA,72400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,80,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITIS:180445",NA,NA,NA,NA,NA,NA,0,0,40,NA,1,1,1,NA,NA,NA,NA,127500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,60,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITIS:180526",NA,NA,NA,NA,NA,NA,0,0,60,NA,1,0,0,NA,NA,NA,NA,2e+07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,40,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITIS:180671",NA,NA,NA,NA,NA,NA,0,0,60,NA,1,0,1,NA,NA,NA,NA,1600000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,40,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITIS:180528",NA,NA,NA,NA,NA,NA,0,0,100,NA,1,0,0,NA,NA,NA,NA,1.9e+08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITIS:180444",NA,NA,NA,NA,NA,NA,0,0,40,NA,1,1,1,NA,NA,NA,NA,120000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,60,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITIS:622018",NA,NA,NA,NA,NA,NA,0,0,20,NA,1,0,1,NA,NA,NA,NA,70963.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,80,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITIS:180639",NA,NA,NA,NA,NA,NA,0,0,80,NA,1,1,1,NA,NA,NA,NA,825000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0,10,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITIS:180655",NA,NA,NA,NA,NA,NA,0,0,60,NA,1,0,1,NA,NA,NA,NA,280000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,40,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITIS:180657",NA,NA,NA,NA,NA,NA,0,0,20,NA,1,0,1,NA,NA,NA,NA,288333.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,80,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITIS:180463",NA,NA,NA,NA,NA,NA,0,0,60,NA,1,1,1,NA,NA,NA,NA,1360000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0,30,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITIS:180430",NA,NA,NA,NA,NA,NA,0,0,60,NA,1,1,1,NA,NA,NA,NA,57400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,40,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITIS:180537",NA,NA,NA,NA,NA,NA,0,0,100,NA,1,1,1,NA,NA,NA,NA,2.3e+07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITIS:622022",NA,NA,NA,NA,NA,NA,0,0,40,NA,1,0,1,NA,NA,NA,NA,132250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,60,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITIS:180442",NA,NA,NA,NA,NA,NA,0,0,40,NA,1,1,1,NA,NA,NA,NA,180000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,60,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITIS:180649",NA,NA,NA,NA,NA,NA,0,0,20,NA,1,0,1,NA,NA,NA,NA,1e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,80,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITIS:180542",NA,NA,NA,NA,NA,NA,0,0,0,NA,1,0,1,NA,NA,NA,NA,388750.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,0,10,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITIS:180504",NA,NA,NA,NA,NA,NA,0,0,80,NA,1,1,1,NA,NA,NA,NA,5800000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,20,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITIS:552460",NA,NA,NA,NA,NA,NA,0,0,60,NA,1,1,1,NA,NA,NA,NA,110000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,40,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITIS:180653",NA,NA,NA,NA,NA,NA,0,0,20,NA,1,0,1,NA,NA,NA,NA,157667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,80,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITIS:180621",NA,NA,NA,NA,NA,NA,0,0,40,NA,0,1,1,NA,NA,NA,NA,80000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,60,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITIS:180480",NA,NA,NA,NA,NA,NA,0,0,10,NA,1,1,1,NA,NA,NA,NA,102500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,90,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITIS:180454",NA,NA,NA,NA,NA,NA,0,0,40,NA,1,1,1,NA,NA,NA,NA,113000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,60,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITIS:180627",NA,NA,NA,NA,NA,NA,0,0,40,NA,0,1,1,NA,NA,NA,NA,45133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,60,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITIS:180672",NA,NA,NA,NA,NA,NA,0,0,60,NA,1,0,1,NA,NA,NA,NA,750000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,40,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITIS:180521",NA,NA,NA,NA,NA,NA,0,0,90,NA,1,0,1,NA,NA,NA,NA,28500000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,10,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITIS:180498",NA,NA,NA,NA,NA,NA,0,0,80,NA,1,1,1,NA,NA,NA,NA,4775000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,20,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
